,writer
819,Christopher Cain
820,Christopher Cleveland
821,Christopher Crowe
822,Christopher De Vore
823,Christopher Ford
824,Christopher Frank
825,Christopher Gambale
826,Christopher Gore
827,Christopher Guest
828,Christopher Hampton
829,Christopher Isherwood
830,Christopher Kyle
831,Christopher L. Yost
832,Christopher Landon
833,Christopher Leitch
834,Christopher Markus
835,Christopher McQuarrie
836,Christopher Miller
837,Christopher Monger
838,Christopher Murphey
839,Christopher Nolan
840,Christopher Paolini
841,Christopher Reed
842,Christopher Roach
843,Christopher Robbins
844,Christopher Rouse
845,Christopher Scott Cherot
846,Christopher Spencer
847,Christopher Thompson
848,Christopher Wilkinson
849,Christy Beam
850,Chuck Barris
851,Chuck Hogan
852,Chuck Konzelman
853,Chuck Logan
854,Chuck Norris
855,Chuck Palahniuk
856,Chuck Pfarrer
857,Chuck Wilson
858,Cinco Paul
859,Cindy Cirile
860,Cindy Davis
861,Ciro Guerra
862,Claire Cook
863,Clancy Carlile
864,Clancy Sigal
865,Clara Bingham
866,Clara Royer
867,Clare Boothe Luce
868,Clare Sera
869,Clarence Budington Kelland
870,Clark Gregg
871,Claude Chabrol
872,Claude Faraldo
873,Claude Kerven
874,Claude Legault
875,Claude Magnier
876,Claude Stanush
877,Claude Zidi
878,Claudia Grazioso
879,Clay Tarver
880,Clayton Frohman
881,Cliff Hollingsworth
882,Clifford Green
883,Clifford Irving
884,Clio Chiang
885,Clive Barker
886,Clive Cussler
887,Clive Exton
888,Clyde Hayes
889,Coke Daniels
890,Coke Sams
891,Coleman Hough
892,Colette
893,Colin Clark
894,Colin Escott
895,Colin Higgins
896,Colin Patrick Lynch
897,Colin Trevorrow
898,Colin Welland
899,Colin Wilson
900,Coline Serreau
901,Colm Tóibín
902,Cooper Layne
903,Corey Mandell
904,Cormac McCarthy
905,Cormac Wibberley
906,Cornelia Funke
907,Cornell Woolrich
908,Cory Edwards
909,Cory Finley
910,Cory Goodman
911,Cory Helms
912,Costa-Gavras
913,Court Crandall
914,Courtney Hunt
915,Courtney Solomon
916,Craig Bartlett
917,Craig Bolotin
918,Craig Borten
919,Craig Brewer
920,Craig Cox
921,Craig Ferguson
922,Craig Fernandez
923,Craig Harrison
924,Craig Kyle
925,Craig Lucas
926,Craig Mazin
927,Craig Pearce
928,Craig Rosenberg
929,Craig Schulz
930,Craig Storper
931,Craig Titley
932,Craig Wright
933,Creighton Rothenberger
934,Cressida Cowell
935,Cristian Mungiu
936,Cul Cullen
937,Curtis Hanson
938,Cynthia Carle
939,Cynthia Cidre
940,Cyril Hume
941,Cyrus Voris
942,Cédric Klapisch
943,Céline Garcia
944,D.A. Metrov
945,D.J. Caruso
946,D.V. DeVincentis
947,DJ Pooh
948,Dale Launer
949,Dalene Young
950,Dalton Trumbo
951,Damian Shannon
952,Damien Chazelle
953,Damián Szifron
954,Damon Lindelof
955,Damon Wayans
956,Dan Abnett
957,Dan Aykroyd
958,Dan Bates
959,Dan Berendsen
960,Dan Brown
961,Dan Callahan
962,Dan Ewen
963,Dan Fogelman
964,Dan Futterman
965,Dan Gilroy
966,Dan Gordon
967,Dan Greenburg
968,Dan Gregor
969,Dan Hageman
970,Dan Harmon
971,Dan Harris
972,Dan Hernandez
973,Dan Ireland
974,Dan Kwan
975,Dan Madigan
976,Dan Mazeau
977,Dan Mazer
978,Dan Millman
979,Dan O'Bannon
980,Dan Rush
981,Dan Scanlon
982,Dan Schneider
983,Dan Sterling
984,Dan Vining
985,Dana Carvey
986,Dana Fox
987,Dana Olsen
988,Dana Stevens
989,Daniel Barnz
990,Daniel Chuba
991,Daniel Clowes
992,Daniel Coyle
993,Daniel Domscheit-Berg
994,Daniel E. Taylor
995,Daniel F. Galouye
996,Daniel G. Sullivan
997,Daniel Gerson
998,Daniel Giat
999,Daniel Goldberg
1000,Daniel Handler
1001,Daniel Kunka
1002,Daniel Lang
1003,Daniel Lusko
1004,Daniel Mainwaring
1005,Daniel Meersand
1006,Daniel Myrick
1007,Daniel P. Mannix
1008,Daniel Petrie Jr.
1009,Daniel Pyne
1010,Daniel Reitz
1011,Daniel Sadek
1012,Daniel Scheinert
1013,Daniel Stiepleman
1014,Daniel Taplitz
1015,Daniel Wallace
1016,Daniel Waters
1017,Daniel Zelman
1018,Daniele Sebastian Wiedenhaupt
1019,Danielle Alexandra
1020,Danilo Bach
1021,Danis Tanovic
1022,Danièle Thompson
1023,Danny Bilson
1024,Danny Boyle
1025,Danny Jacobson
1026,Danny McBride
1027,Danny Opatoshu
1028,Danny Rubin
1029,Danny Strong
1030,Darcey Bell
1031,Darcy Frey
1032,Darcy Meyers
1033,Daria Nicolodi
1034,Darin Scott
1035,Dario Argento
1036,Dario Scardapane
1037,Darlene Craviotto
1038,Darnell Martin
1039,Darrel Campbell
1040,Darren Aronofsky
1041,Darren Doane
1042,Darren Lemke
1043,Darren Lynn Bousman
1044,Darren Stein
1045,Darryl Ponicsan
1046,Darryl Quarles
1047,Daryl Haney
1048,Dav Pilkey
1049,Dave Barry
1050,Dave Callaham
1051,Dave Chappelle
1052,Dave Christiano
1053,Dave Eggers
1054,Dave Johannson
1055,Dave Krinsky
1056,Dave Stevens
1057,Dave Thomas
1058,Dave Willis
1059,David A. Newman
1060,David Aaron Cohen
1061,David Ambrose
1062,David Arata
1063,David Atkins
1064,David Auburn
1065,David Ayer
1066,David Baldacci
1067,David Bar Katz
1068,David Barry
1069,David Benioff
1070,David Benullo
1071,David Berenbaum
1072,David Birke
1073,David Bourla
1074,David Bowers
1075,David Brin
1076,David C. Johnson
1077,David C. Wilson
1078,David Casci
1079,David Caspe
1080,David Chaskin
1081,David Chisholm
1082,David Cohen
1083,David Collard
1084,David Cramer
1085,David Cronenberg
1086,David DiGilio
1087,David Diamond
1088,David Dorfman
1089,David Duncan
1090,David E. Kelley
1091,David E. Talbert
1092,David Ebershoff
1093,David Elliot
1094,David Engelbach
1095,David Eyre
1096,David F. Sandberg
1097,David Farr
1098,David Feeney
1099,David Finkel
1100,David Franzoni
1101,David Freeman
1102,David Friedkin
1103,David Fuller
1104,David G. Evans
1105,David Garrett
1106,David Giler
1107,David Giles
1108,David Gleeson
1109,David Grann
1110,David Griffiths
1111,David Guggenheim
1112,David Guion
1113,David Guterson
1114,David H. Steinberg
1115,David Hare
1116,David Hayter
1117,David Henry Hwang
1118,David Himmelstein
1119,David Hines
1120,David Hodgin
1121,David Hoselton
1122,David Howard
1123,David Ignatius
1124,David Iserson
1125,David J. Schow
1126,David James Kelly
1127,David Jonas
1128,David Kajganich
1129,David Kendall
1130,David Kidd
1131,David Kirschner
1132,David Klass
1133,David Koepp
1134,David L. Cook
1135,David L. Corley
1136,David L. Hunt
1137,David Lagercrantz
1138,David Leigh
1139,David Leland
1140,David Leslie Johnson-McGoldrick
1141,David Levien
1142,David Levithan
1143,David Lindsay-Abaire
1144,David Loucka
1145,David Loughery
1146,David Lowery
